,Unnamed: 0,data,sentiment
0,0,biển đông là khu vực của các nc xung quanh mà vn chỉ cs biển đảo thoy cc ngồi cào bàn phím chửi tq vui z ak giỏi sang tq thể hiện đê,negative
1,1,trí thức tq vs trí ngủ việt nam “những tranh chấp gần đây là kết quả của tư tưởng coi biển đông là lợi ích độc quyền không cần chia sẻ của bắc kinh quan điểm này đã rất lỗi thời” ông zhang mingliang nhận xét theo ông zhang mingliang trung quốc cần phải thay đổi tư tưởng hợp tác với các nước trong khu vực cùng chia sẻ tài nguyên biển đông để duy trì hòa bình ổn định lâu dài đồng quan điểm trên ông rommel banlaoi – chủ tịch hiệp hội nghiên cứu an ninh và tình báo philippines – cho rằng trung quốc nên tôn trọng và cởi mở hơn với các nước có quyền lợi ích hợp pháp ở biển đông “các nước trong khu vực biển đông cần hợp tác vì sự phát triển chung để mang lại lợi ích cho người dân” ông rommel banlaoi chia sẻ,negative
2,2,chia sẻ với con người am hiểu thì ok  loại không còn nhân tính thì chết cũng không chơi trời cao có mắt muốn gì được sao,negative
3,3,"tq cứ làm trò hề độc chiếm các đảo biến đông gây hấn với các nước thay đổi hiện trạng tạo sân bay trạm ra đa các thứ làm lá chắn quân sự,ra lệnh cấm đánh bắt cá tạo vùng nhận dạng phòng không các thứ tạo tâm lý cho mọi người cảm thấy đó là vùng đất mặc định của tq thắt nút thòng lọng các nước nhỏ ở biển đông giờ giả vờ nới lỏng ra vẻ ta đây ban ân sủng cho các nước cùng nhau hợp tác khai thác tài nguyên biển đông và nếu các nước đồng ý thì sẽ vướng bẫy của tq khai thác tài nguyên mỏ  tq sẽ lấy phần nhiều hơn.càng lộ rõ bản chất gian xảo quyệt của tq",negative
4,4,tau cong nghi rang nhung nuoc xung quanh bien dong deu nho be  yeu hen  nen toan tinh nuot tron bien dong  nhung ra ngoai hai phan cac nuoc thi la hai phan quoc te  nen co quyen loi cua my va cac nuoc tren the gioi  viec nay kho cho tau cong roi ,negative
5,5,rồi ruốt cuộc chủ admin trang này muốn gì  nói mịe ra giải quyết cho dễ một lần,negative
6,6,anh em chúng mưu chiếm vn và chiếm luôn biển đông luôn đó,positive
7,7,tham lam thâm độc trơ trẽn là bản chất của china dog,negative
8,8,tưởng chiên da xứ lừa dám nói,negative
9,9,chúng ta là nước yêu chuộng hòa bình việc ngoại giao cần mềm mỏng kiên trì chứ không thể vội vàng và dùng vũ lực để giải quyết mọi việc,negative
10,10,"1,4 tỉ cũng có 1 thằng thông minh",negative
11,11,chứ sao không lỗi thời vậy nà,negative
12,12,hết thời luôn rồi,negative
13,13,giỏi xamloz,negative
14,14,chia se tai,negative
15,15,chó phản quốc ,negative
16,17,chọc chó phản động mà cũng lên fan cứng,negative
17,18,yếu về pháp lí nhưng mạnh về độ trơ trẽn,negative
18,19,dân đi biểu tình chống trung quốc xâm chiếm biển đảo nó còn bắt đánh đập bỏ tù thì kiện con mẹ gì nữa,negative
19,20,đến ra trước lhq gọi cái tên thôi mà còn run như cầy sấy chưa dám gọi thì csvn dám kiện à kiện cái củ khoai thì có,negative
20,21,ad à  nếu kiện cứ cho là mình thắng đi  rồi sao đó thì sao nữa mời ad giúp cho với  ad ở mô làm về công việc chi sao mà rành ghê vậy  nên nhớ anh bạn hàng xóm này sân si lắm  ko cẩn thận là chết  ko phải kiện ra tòa là thắng đâu ad ạ,negative
21,22,theo quan điểm của cá nhân tôi để giải quyết tranh chấp chủ quyền trên biển đông cần phải bằng biện pháp hòa bình tranh thủ sự đồng tình ủng hộ của cộng đồng quốc tế mỗi người dân phải nêu cao tinh thần yêu nước giữ bình tĩnh trước những âm mưu và hoạt động của địch,negative
22,23,đánh trung  thì ve chai ta đây có ngồi họp đại hội đảng dc ta không lấy lại dc thì để con cháu nó lấy,negative
23,24,không kiện tàu cộng xâm chiếm biển đảo của ta ra toà án quốc tế thì nhiều nước căn cứ vào đâu mà ủng hộ ta,negative
24,25,ai nói hoàng  trường sa của vn là phản động đó nha,negative
25,26,tranh chấp lãnh hải không dùng cái mồm mà phải là họng súng dù có thua vẫn để kẻ cướp sợ hãi,negative
26,27,pháp lý chỉ trên giấy thôi chứ k có giá trị đối với nó,negative
27,28,lên youtube coi video của thằng giặc đầu trọc thích gì đó là hiểu,negative
28,29,lẽ phải ở đầu súng,negative
29,30,vậy đông lào kiện đi,negative
30,31,dân chủ nào cho chúng ta,negative
31,33,cambodia soport china my friend,negative
32,34,wow 95  đây có thể nói là toàn dân việt muốn kiện tàu ra tòa án quốc tế  để coi cs vn sẽ có hành động gì theo dân hay chống dân  nếu cs vn chọn phương pháp im lặng đó cũng sẽ được coi là chống lại dân,negative
33,35,hãy hiện nguyên hình đi  page này là page phản động  nhằm gây rối loạn chống phá,negative
34,36,đm đừng có kiểu vote vài cái trên fb rồi nói là toàn dân đc  1 thằng dùng mấy cái acc đấy cái gì mà thấy có lợi cho đất nước dân tộc thì đảng và nhà nước sẽ có đường lối chính sách phù hợp chứ đ bh như này ,negative
35,37,chúng mày là cái đéo gì mà trưng cầu dân ý một trang mạng lá cải cứ làm như là 1 tòa soạn chính thống ngứa cả đít,negative
36,38,t mong kiện tq đi nó đang chuẩn bị diễn tập ở hoàng sa r,negative
37,39,asean là một tổ chức hữu danh vô thực có cũng như không khi nó được xây dựng trên cơ sở đồng thuận trên mọi vấn đề trước khi ra tuyên bố chung vì vậy tq chẳng xem asean ra gì cả chỉ cần mua chuộc một thằng trong khối thì xem như cả khối asean trở thành vô dụng,negative
38,40,bỏ cái 95 dân số việt nam đồng ý đi hơn có 700000 người việt đồng ý chưa đủ để đại diện cho 90 triệu người việt đâu,negative
39,41,đã đến lúc cả thế giới tỉnh ngộ trước sự hung hăng của chủ nghĩa phát xít mới trung cộng,negative
40,42,cái quan trọng là bọn lãnh đạo đếch dám kiện,negative
41,43,trưng cầu dân ý 95 đồng ý  trưng cầu lúc nào vậy ,negative
