,Unnamed: 0,data,sentiment
0,0,toàn 1 lũ vô học nghiệp vụ thì không có đeo hiểu sao vào ngành lam được,negative
1,2,đập chết mẹ nó đồ danh con,negative
2,3,ghét nhất loại đầu gối to hơn bắp đùi,negative
3,4,tài năng có hạn nhưng khốn nạn có thừa,negative
4,5,"mẹ ơi,tuần tra mà tuý có công an đi theo thấy công an thì nó lò mặt ra trao mà tuý chắc bảo dân trí thấp thì nó lại chửi",negative
5,7,phap luat bat luc gio ai dám cho cpn e minh di lịnh q doi thoi binh ma da man hon bon bot tnhe sao,negative
6,8,thế nay thi mất hết lòng tin của nhân dân dồi,negative
7,9,ai còn giám cho con đi lính nữa,negative
8,10,thế này thì bố mẹ chúng sao mà dám dao con minh cho quân doi day phục vụ quân đội mà thế này a,negative
9,11,chúc nhật ký yêu nước ngày thứ tư tốt lành 3,positive
10,12,cố gắng tỉnh táo đi cháu để vạch mặt những đứa đã làm cháu ntn,negative
11,16,cho thằng chó đầu bạc về hưu ln đi,negative
12,17,nó đánh người trước ảnh bacho luôn,negative
13,18,vai tolet ma dap ngu vai vay bac ca gia,negative
14,20,lạm quyền  cho ông này về vườn luôn đi,negative
15,21,trung tá đã nôn nóng chỉ 5 giây đá bố đi mất bát cơm của cả gia đình rồi,negative
16,22,về cầm dao lên chém chết mẹ mấy thằng chó đi,negative
17,23,lũ chó công ̀ lũ chó đẻ cả ngành của chúng nó toàn là chó,negative
18,24,5 dieu bac ho day tui may dau het roi,negative
19,25,1 vé cho thằng già về vườn,negative
20,26,ông làm ca mà ông ác quá,negative
21,27,coi chừng mấy thằng quay phim với cài công an đó bt đâu bọn nó vi phạm pháp luật rồi còn tạo ra cảnh này uy hiếp công an,negative
22,28,đình chỉ là đúng!ko chấp nhân dc.nhưng đừng đem hành động cá nhân ra đánh giá cả ngà sai thì người đó chịu trách nhiệm,negative
23,29,khon nan qua  toi nguoi dan tgap co be hong qua sao uc hiep the nay,negative
24,30,lão già công an gì mà nhân phẩm đạo đức ko có cho nó về di,negative
25,31,mọi người thấy thế nào,positive
26,32,thằng trung tá này là 1 con chó,negative
27,33,duong nao mai leo len duoc ge thang nai ve vuon,negative
28,34,cong an gi dap nguoi nhu the kien bo me no di,negative
29,35,thằng này ngáo pl trong tay nó mà,negative
30,36,cai loai nguoi do dap cho no chet la vua khong ai them thuong,negative
31,37,lại sắp mất việc lại đình chỉ ct,negative
32,39,công an lồn như c,negative
33,40,chẳng còn pháp luật nửa đâu phải mặc bộ đồ ca rồi đánh ai củng được trời  nếu tên nầy có vi phạm pháp để tòa án xử  thực thi nhiệm vụ giống xã hội đen quá ,negative
34,41,ten con do hay doi day,negative
35,42,nguoi cong an đánh sai,negative
36,43,tu cach mot nguoi can bo cong an la niem tin tuong nhat va cho dua cho dan ma mot dong chi can bo lam vay la khong dung dau toi mong cac cap ban nghanh cong an cao cap va xem xet lai nguoi do co hanh vi vay la khong dung voi dan dau toi mong cac cap nghanh cong an ra quyet dinh dinh chi nguoi can bo ra khoi nghanh cong an lien di de sao nay anh hiong nghanh cong an do mot loai ngyoi can bo vay la sai hoang toan khong du vao nghanh cong an dau dua nguoi do vao ban xa hoi den hay la dya ra ben xe de lam dan anh moi dung do dung la mot thang cong an thua ke con do,negative
37,44,"cái chính là nạn nhân đã nằm,tay cầm điện thoại và vn không có khả năng kháng cự",negative
38,45,bằng chứng thế thảo nào bao nhiêu người bị bắt tạm giam xong đánh chết người ta thằng chó công an cắn người kia người dân chúng tao đổ mố hôi chán dán mồ lồn ra để đóng thuế nuôi chúng mày nhé colp này thì bác phú trọng o để mày yên đâu,negative
39,47,cướp vẫn lộng hành mà người dân tụi tao vẫn đóng thuế cho lũ chó công an,negative
40,48,thông cảm chú chờ quyết định về hưu lâu quá thôi thì các cháu giúp chú đc về với con cháu chú sớm hơn vậy,negative
41,49,mat het pham chat cua mot nguoi cong an viet nam,negative
42,50,rồi chú ấy cũng đã dính chiêu ăn vạ trường tồn rồi,negative
43,51,cong an như lol gặp tao tao đập chết cmm thân công an lol,negative
44,52,làm nghề mà không có đạo đức đuổi gia khỏi nghề,negative
45,53,thang cho kia la tuong cuop deo phai cong an,negative
46,54,thằng ca này mua chức vụ nên chẳng có nghiệp vụ gì,negative
